ID	6											
Level	Final											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	20	40	60	80							
SP Increase	0	10	20	30	50							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	40	20	14	9	3	0	0	8	5	12	32	0
Hit 2	30	20	23	17	3	0	0	0	0	9	32	0
Hit 3	30	10	10	5	2	0	3	2	1	7	32	0
Hit 4	30	10	12	6	3	0	0	0	0	9	32	0
Hit 5	30	10	20	14	3	0	0	13	4	13	32	0
Hit 6	30	10	12	7	2	0	0	0	0	11	32	18
Hit 7	30	10	29	9	3	3	7	11	5	10	32	0
Hit 8	30	10	23	17	2	65528	0	16	3	13	32	0
