ID	10											
Level	7											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	8	16	24	35							
SP Increase	0	50	100	150	240							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	15	2	17	11	3	2	2	5	7	16	32	0
Hit 2	20	2	19	13	3	65533	11	7	3	15	32	0
Hit 3	20	2	13	7	3	65534	0	9	11	12	32	0
Hit 4	20	2	16	10	3	65534	0	12	11	14	32	0
Hit 5	75	8	17	12	2	65527	0	17	13	18	32	0
