ID	26											
Level	30											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	30	60	90	134							
SP Increase	0	0	0	0	0							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	12	1	7	1	3	0	0	0	0	9	32	0
Hit 2	12	1	12	6	3	0	5	3	1	12	32	0
Hit 3	12	1	16	9	3	0	0	11	6	15	32	0
Hit 4	13	1	16	8	2	0	0	12	14	14	32	0
Hit 5	13	1	18	1	3	10	0	2	3	12	32	0
Hit 6	13	1	27	18	3	65531	0	22	5	15	32	0
Hit 7	75	4	29	1	2	65527	0	3	4	15	32	0
