ID	27											
Level	Final											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	38	75	113	150							
SP Increase	0	0	0	0	0							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	10	2	7	1	3	0	0	0	0	9	32	0
Hit 2	10	2	24	16	3	0	6	14	10	14	32	0
Hit 3	10	2	21	1	2	0	0	4	7	14	32	0
Hit 4	10	2	19	5	3	65524	0	6	15	12	32	0
Hit 5	15	4	8	1	3	15	0	6	10	22	32	0
Hit 6	15	4	14	4	2	0	6	3	4	16	32	0
Hit 7	30	9	19	7	3	65533	0	6	1	6	32	0
Hit 8	100	25	10	1	2	65534	0	2	4	18	32	0
