Max_HP	AT	MAT	DF	MDF	SPD
27	3	2	4	2	60
54	5	3	6	3	60
81	8	5	8	5	60
108	11	6	10	6	60
135	14	8	12	7	60
162	17	10	15	9	60
189	19	11	17	10	60
216	22	13	19	11	60
243	25	14	21	13	60
270	28	16	23	14	60
297	31	18	26	15	60
371	34	20	28	19	60
446	37	23	31	22	60
521	40	26	33	25	60
595	43	29	36	28	60
670	47	32	38	32	60
745	50	35	41	35	60
819	53	38	43	38	60
894	56	41	46	41	60
969	59	44	48	45	60
1044	63	47	51	48	60
1144	66	48	53	49	60
1245	69	49	56	50	60
1346	72	49	58	51	60
1447	75	50	61	52	60
1548	78	51	63	53	60
1648	81	52	66	54	60
1749	84	53	68	55	60
1850	87	53	71	56	60
1951	90	54	73	56	60
2052	94	55	76	57	60
2159	97	59	78	62	60
2266	100	64	81	66	60
2373	103	68	83	70	60
2480	106	73	86	74	60
2587	109	77	88	78	60
2694	112	81	91	82	60
2801	115	86	93	87	60
2908	118	90	96	91	60
3015	121	95	98	95	60
3123	125	99	101	99	60
3356	128	100	103	100	60
3589	131	101	105	101	60
3822	134	101	108	102	60
4055	137	102	110	103	60
4288	140	103	113	103	60
4521	143	104	115	104	60
4754	146	104	118	105	60
4987	149	105	120	106	60
5220	152	106	123	107	60
5454	156	107	125	108	60
5598	159	111	128	112	60
5742	163	116	131	117	60
5886	166	120	133	121	60
6030	170	125	136	126	60
6174	173	130	139	130	60
6318	177	134	141	135	60
6462	180	139	144	139	60
6606	184	143	147	144	60
6750	188	148	150	148	60
