ID	40											
Level	Final											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	8	16	24	35							
SP Increase	0	50	100	150	240							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	30	8	8	2	3	0	0	1	0	19	32	0
Hit 2	30	8	26	12	3	65524	10	6	8	10	32	0
Hit 3	30	8	17	3	2	12	0	3	22	13	32	0
Hit 4	40	8	9	3	3	0	0	3	3	10	32	0
Hit 5	40	8	16	10	3	6	0	9	0	0	32	0
Hit 6	40	8	10	2	2	0	0	3	0	0	32	0
Hit 7	40	6	21	14	3	0	19	2	0	0	32	0
Hit 8	50	6	16	7	2	65531	0	8	16	18	32	0
