M-ID	M-name	Element	HP	AT	MAT	DF	MDF	Speed	A-AV	M-AV	P-Immune	M-Immune	P-Half	M-Half	E-Immune	E-Half	Status-Resist	Death-Resist	EXP	Gold	Drop	Drop-Chance	M-extra-name
131	Sandora Soldier	Fire	15300	144	144	100	100	60	0	0	0	0	0	0	None	None	99	0	0	0	Broad Sword	0	Sandora Soldier
135	Commander	Dark	64000	176	144	120	80	70	0	0	0	0	0	0	None	None	99	128	0	0	Sabre	100	Commander
261	Fruegel	Earth	63000	200	120	100	80	50	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Fruegel
259	Hellena Warden	Fire	6000	105	105	100	100	50	0	0	0	0	0	0	None	None	255	0	0	0	Broad Sword	0	Hellena Warden
260	Senior Warden	Fire	10000	120	200	100	100	50	0	0	0	0	0	0	None	None	255	128	0	0	Broad Sword	0	Senior Warden
332	Urobolus	Earth	61600	176	176	160	120	50	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Urobolus
102	Sandora Elite	Dark	159600	196	175	100	120	80	10	0	0	0	0	0	None	None	255	128	0	0	Broad Sword	0	Sandora Elite
325	Drake the Bandit	Wind	148000	200	170	80	80	70	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Drake the Bandit
326	Wire	Non-Elemental	9600	91	91	120	80	50	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Wire
327	Bursting Ball	Non-Elemental	10240	450	450	150	50	70	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Bursting Ball
329	Jiango	Earth	204800	196	153	160	80	50	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Jiango
262	Fruegel	Earth	220000	200	152	100	80	50	0	0	0	0	0	0	None	None	255	144	0	0	Broad Sword	0	Fruegel
263	Rodriguez	Wind	48000	158	158	100	100	70	10	0	0	0	0	0	None	None	255	16	0	0	Broad Sword	0	Rodriguez
264	Guftas	Dark	60000	172	128	120	60	50	0	0	0	0	0	0	None	None	255	16	0	0	Broad Sword	0	Guftas
