ID	34											
Level	Final											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	15	30	45	67							
SP Increase	0	50	100	150	200							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	30	8	15	9	3	0	0	0	0	8	32	0
Hit 2	30	6	18	8	2	0	5	3	4	5	0	0
Hit 3	30	6	12	3	3	0	0	2	1	10	0	0
Hit 4	40	6	11	6	2	0	5	2	3	10	32	0
Hit 5	40	6	16	6	3	0	0	0	0	8	32	0
Hit 6	40	6	8	3	2	65533	0	3	4	6	32	0
Hit 7	40	6	19	11	3	0	4	6	7	12	32	0
Hit 8	50	6	37	3	2	65529	0	2	15	10	32	0
