Max_HP	AT	MAT	DF	MDF	SPD
45	4	2	4	3	30
83	9	3	8	4	30
121	14	4	13	5	30
160	18	5	17	6	30
198	23	6	22	7	30
237	28	7	27	8	30
275	33	8	31	9	30
313	38	9	36	10	30
352	43	10	40	11	30
390	48	11	45	12	30
429	53	12	50	13	30
536	57	13	55	14	30
644	62	14	60	15	30
752	66	15	65	16	30
860	71	17	70	17	30
968	76	18	76	18	30
1076	80	19	81	19	30
1184	85	21	86	20	30
1292	89	22	91	21	30
1400	94	23	96	22	30
1508	99	25	102	23	30
1653	103	26	107	24	30
1799	108	27	112	25	30
1944	113	28	117	26	30
2090	118	29	122	27	30
2236	123	31	128	28	30
2381	128	32	133	29	30
2527	133	33	138	30	30
2672	138	34	143	31	30
2818	143	35	148	32	30
2964	148	37	154	34	30
3118	153	38	157	35	30
3273	159	39	161	36	30
3428	164	40	165	38	30
3582	170	42	168	39	30
3737	176	43	172	41	30
3892	181	44	176	42	30
4046	187	46	179	44	30
4201	192	47	183	45	30
4356	198	48	187	47	30
4511	204	50	190	48	30
4847	206	51	194	50	30
5184	209	52	197	51	30
5521	211	53	201	53	30
5857	214	54	205	54	30
6194	217	56	208	56	30
6531	219	57	212	58	30
6867	222	58	215	59	30
7204	224	59	219	61	30
7541	227	60	223	63	30
7878	230	62	226	64	30
8086	232	63	229	66	30
8294	235	64	232	68	30
8502	238	66	236	69	30
8710	241	67	239	71	30
8918	243	69	242	73	30
9126	246	70	245	74	30
9334	249	72	248	76	30
9542	252	73	251	78	30
9750	254	75	254	80	30
