Max_HP	AT	MAT	DF	MDF	SPD
18	2	3	2	4	70
36	3	6	3	7	70
54	5	9	4	10	70
72	7	12	6	13	70
90	8	15	7	16	70
108	10	19	9	20	70
126	12	22	10	23	70
144	13	25	11	26	70
162	15	28	13	29	70
180	17	31	14	32	70
198	19	34	16	36	70
247	21	38	17	39	70
297	23	42	19	42	70
347	25	46	21	45	70
397	27	50	23	48	70
447	29	54	25	51	70
496	31	58	27	54	70
546	33	62	29	57	70
596	35	66	31	60	70
646	37	70	33	63	70
696	40	74	34	66	70
763	41	77	37	69	70
830	42	81	39	73	70
897	43	85	41	76	70
964	44	88	43	80	70
1032	45	92	45	84	70
1099	46	96	47	87	70
1166	47	99	49	91	70
1233	48	103	52	94	70
1300	49	107	54	98	70
1368	50	111	56	102	70
1439	52	114	58	105	70
1510	53	118	60	108	70
1582	54	122	62	111	70
1653	56	126	65	114	70
1725	57	130	67	117	70
1796	58	133	69	120	70
1867	60	137	71	123	70
1939	61	141	73	126	70
2010	62	145	75	129	70
2082	64	149	77	133	70
2237	68	152	80	136	70
2392	72	156	82	140	70
2548	76	160	85	143	70
2703	80	163	87	147	70
2859	85	167	90	150	70
3014	89	171	92	154	70
3169	93	174	94	157	70
3325	97	178	97	161	70
3480	101	182	99	164	70
3636	105	186	102	168	70
3732	110	190	104	171	70
3828	115	194	106	174	70
3924	119	199	108	178	70
4020	124	203	110	181	70
4116	129	207	112	184	70
4212	133	212	114	188	70
4308	138	216	116	191	70
4404	143	220	118	195	70
4500	147	225	120	198	70
