ID	32											
Level	22											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	25	50	75	100							
SP Increase	0	10	20	30	45							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	18	2	15	9	3	0	0	0	0	8	32	0
Hit 2	19	2	15	9	3	0	6	3	5	4	32	0
Hit 3	19	2	12	6	2	65533	4	2	3	5	32	0
Hit 4	19	3	10	4	3	0	0	10	1	6	32	0
Hit 5	75	9	33	7	2	65531	0	0	0	10	32	0
