Max_HP	AT	MAT	DF	MDF	SPD
35	3	2	4	2	40
67	6	3	7	3	40
100	13	4	10	4	40
133	15	6	13	5	40
166	16	7	16	6	40
199	20	8	19	7	40
231	23	10	22	7	40
264	27	11	25	8	40
297	30	13	28	9	40
330	34	14	31	10	40
363	37	15	34	11	40
454	41	17	37	12	40
545	45	18	41	13	40
636	48	20	44	14	40
728	52	22	47	15	40
819	56	23	51	16	40
910	60	25	54	17	40
1002	63	27	57	18	40
1093	67	28	61	19	40
1184	71	30	64	20	40
1276	75	31	67	21	40
1399	78	33	71	24	40
1522	82	35	74	27	40
1645	86	37	77	29	40
1768	90	39	81	32	40
1892	93	41	84	35	40
2015	97	43	87	37	40
2138	101	45	91	40	40
2261	105	47	94	43	40
2384	108	48	97	45	40
2508	112	50	101	48	40
2638	116	52	104	49	40
2769	120	54	107	50	40
2900	123	55	111	51	40
3031	127	57	114	52	40
3162	131	59	117	53	40
3293	135	61	121	54	40
3424	138	62	124	55	40
3555	142	64	127	57	40
3686	146	66	131	58	40
3817	150	68	134	59	40
4101	153	70	137	61	40
4386	157	72	141	64	40
4671	161	74	144	67	40
4956	165	76	147	70	40
5241	168	78	151	73	40
5526	172	80	154	76	40
5811	176	82	157	79	40
6096	180	84	161	82	40
6381	183	86	164	85	40
6666	187	88	167	87	40
6842	191	90	171	88	40
7018	195	92	174	89	40
7194	200	94	178	90	40
7370	204	97	182	91	40
7546	208	99	185	93	40
7722	212	101	189	94	40
7898	216	104	192	95	40
8074	220	106	196	96	40
8250	225	108	199	97	40
