ID	38											
Level	7											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	8	16	24	35							
SP Increase	0	50	100	150	240							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	15	2	8	2	3	0	0	1	3	19	32	0
Hit 2	20	2	31	22	3	5	0	20	0	16	32	0
Hit 3	20	2	11	4	3	0	0	0	0	16	32	0
Hit 4	20	2	8	2	3	0	0	1	3	19	32	0
Hit 5	75	8	36	3	2	0	0	0	0	18	32	0
