ID	25											
Level	26											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	0	0	0	0							
SP Increase	0	50	100	150	240							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	10	3	7	1	3	0	0	0	0	9	32	0
Hit 2	10	4	19	8	3	65529	0	9	6	9	32	0
Hit 3	10	4	34	17	3	3	6	11	20	10	32	0
Hit 4	10	4	16	2	3	0	0	0	0	15	32	0
Hit 5	60	15	23	11	2	65534	9	4	6	9	32	0
