Item Name	Target	Element	Damage	Specail 1	Special 2	UU1	Special Ammount	Icon	Status	Percentage	UU2	Base Switch	Description	Price(even)	Battle Description
	76	None						Magic						4	
Detonate Rock	78	None	100					Magic					Detonates and<LINE>attacks all.<END>	10	Detonates & attacks all.
Spark Net	76	Thunder	150					Magic					Thunder-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(thunder, multi).
Burn Out	76	Fire	150					Magic					Fire-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(fire, multi).
		None											 <END>	2	
Pellet	76	Earth	150					Magic					Earth-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(earth, multi).
Spear Frost	76	Water	150					Magic					Water-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(water, multi).
Spinning Gale	76	Wind	150					Magic					Wind-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(wind, multi).
Attack Ball	76	None						Sack					Generates one of <LINE>the attack items.<END>	100	Generates 1 attack item.
Trans Light	76	Light	150					Magic					Light-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(light, multi).
Dark Mist	76	Dark	150					Magic					Darkness-based<LINE>individual attack<LINE>(multi).<END>	10	S attack(dark, multi).
Healing Potion	88	None						Blue Potion		50		HP	Recovers half of<LINE>maximum value<LINE>of HP.<END>	10	Recovers 1/2 of max HP.
Depetrifier	72	None						Green Potion	PE			Status_Cure	Dissolves<LINE>petrification.<END>	30	Dissolves petrification.
Mind Purifier	88	None						Green Potion	BE,CN,FE,DS			Status_Cure	Dissolves fear,<LINE>bewitchment, <LINE>confusion dispirit.<END>	20	Dissolves B, C, F, D.
Body Purifier	88	None						Green Potion	ST,AB,PO			Status_Cure	Nullifies poison/<LINE>stunning/arm <LINE>blocking.<END>	10	Dissolves P, S, A-Block.
Thunderbolt	78	Thunder	100					Magic					Thunder-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(thndr, multi).
Meteor Fall	78	Earth	100					Magic					Earth-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(earth, multi).
Gushing Magma	78	Fire	100					Magic					Fire-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(flame, multi).
Dancing Ray	78	Light	100					Magic					Light-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(light, multi).
Spirit Potion	72	None						Red Potion		100		SP	Recovers 100 pts.<LINE>of SP during <LINE>combat.<END>	20	Recovers 100SP in combat.
Panic Bell	76	None						Skull	CN			Status_Cause	Confuses minor<LINE>enemies.<END>	20	Confuses minor enemy.
	90	None								50		HP	 <END>	2	
Fatal Blizzard	78	Water	100					Magic					Water-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(water, multi).
Stunning Hammer	76	None						Skull	ST			Status_Cause	Stuns minor<LINE>enemies.<END>	20	Stuns minor enemy.
Black Rain	78	Dark	100					Magic					Darkness-based<LINE>attack for all<LINE>(multi).<END>	20	A attack(dark, multi).
Poison Needle	76	None						Skull	PO			Status_Cause	Poisons minor<LINE>enemies.<END>	20	Poisons minor enemy.
Midnight Terror	76	None						Skull	FE			Status_Cause	Frightens minor<LINE>enemies.<END>	20	Frightens minor enemy.
		None											 <END>	2	
Rave Twister	78	Wind	100					Magic					Wind-based<LINE>attack for all<LINE>(multi).<END>	20	A attack (wing, multi).
Total Vanishing	204	None						Sack					Destroys <LINE>minor enemies.<END>	20	Eliminates minor enemy.
Angel's Prayer	8	None						Angel's Prayer		32		Revive	Revitalizes and <LINE>recovers half of<LINE>HP.<END>	30	Revitalizes & Recover 1/2HP.
Charm Potion	80	None						Charm					Reduces risk of<LINE>encounter.<END>	4	Avoids minor enemy 3x.
Pandemonium	64	None						Charm					Minor enemy only<LINE>attacks one ally<LINE>3 turns (repeat).<END>	400	Allow minor enemy attack 3x.
Recovery Ball	64	None						Sack					Generates a<LINE>recovery item.<END>	100	Generates 1 recovery item.
	72	None			magic_res,physical_res			Shield					 <END>	2	
Magic Shield	72	None			magic_res			Shield					Nullifies magical<LINE>attack for 3 turns<LINE>(repeat).<END>	400	Nullify magical attack 3x.
Material Shield	72	None			physical_res			Shield					Nullifies physical <LINE>attack for 3 turns <LINE>(repeat).<END>	400	Nulify physical attack 3x.
Sun Rhapsody	88	None						Yellow Potion		100		MP	Completely<LINE>recovers MP.<END>	50	Completely recovers MP.
Smoke Ball	72	None						Smoke Ball					100% sure escape <LINE>from minor enemy<LINE>(repeat).<END>	400	Escape a minor enemy.
Healing Fog	88	None						Blue Potion		100		HP	Completely <LINE>recovers HP.<END>	30	Completely recovers HP.
Magic Sig Stone	76	None						Sig Stone					Blocks enemy's<LINE>move for 3 turns<LINE>(repeat).<END>	400	Blocks enemy move 3x (rep).
Healing Rain	90	None						Blue Potion		100		HP	Completely <LINE>recovers HP<LINE>for all.<END>	120	Recovers 100% HP for all.
Moon Serenade	90	None						Yellow Potion		100		SP	Completely <LINE>recovers MP<LINE>for all.<END>	200	Recovers 100% MP for all.
Power Up	72	None		power1,power2,power3,power4			50	Up					Strength increase<LINE>for 3 turns<LINE>(repeat).<END>	400	3 turns powerful (rep).
Power Down	76	None		power1,power2,power3,power4			-50	Down					Becomes weak<LINE>for 3 turns<LINE>(repeat).<END>	400	3 turns weak (rep).
Speed Up	72	None			speed_up			Up					Doubles agility<LINE>for 3 turns<LINE>(repeat).<END>	400	Doubles agility 3x(rep).
Speed Down	76	None			speed_down			Down					Halves agility<LINE>for 3 turns<LINE>(repeat).<END>	400	Halves agility 3x(rep).
	72	None						Blue Potion		30		HP	 <END>	2	
Sachet	76	None						Sack					Gives subtle<LINE>good aroma.<END>	400	Gives subtle good aroma.
Psyche Bomb	78	Non-Elemental	400					Magic					Unbased<LINE>attack for all<LINE>(multi).<END>	20	A attack(non, multi).
Burning Wave	78	Fire	300					Magic					Fire-based<LINE>powerful attack <LINE>for all.<END>	20	Powerful A attack(Fire).
Frozen Jet	78	Water	300					Magic					Water-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Water).
Down Burst	78	Wind	300					Magic					Wind-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Wind).
Gravity Grabber	78	Earth	300					Magic					Earth-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Earth).
Spectral Flash	78	Light	300					Magic					Light-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Light).
Night Raid	78	Dark	300					Magic					Darkness-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Dark).
Flash Hall	78	Thunder	300					Magic					Thunder-based<LINE>powerful attack<LINE>for all.<END>	20	Powerful A attack(Thndr).
Healing Breeze	90	None						Blue Potion		50		HP	Recover half of<LINE>HP for all.<END>	50	Recovers 1/2HP for all.
Psyche Bomb X	110	Non-Elemental	200					Magic					Unbased attack<LINE>for all (multi) <LINE>(repeat).<END>	400	A attack(non, multi, rep).
		None											 <END>	0	
		None											 <END>	0	
		None											 <END>	0	
		None											 <END>	0	
None													 <END>	0	
