ID	3											
Level	15											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	15	30	45	67							
SP Increase	0	25	50	75	100							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	30	10	15	9	3	0	0	8	5	12	32	0
Hit 2	30	10	28	22	3	0	0	12	6	11	32	0
Hit 3	30	10	26	14	3	0	0	0	0	12	32	0
Hit 4	30	10	21	14	3	0	11	4	0	15	32	0
Hit 5	30	10	24	8	2	65531	5	15	10	11	32	0
