Item Name	Equip Type	Who equips	Icon	Element	Status	Status Chance	AT	MAT	DF	MDF	SPD	A-Hit	M-Hit	A-AV	M-AV	E_Half	E_Immune	Status_Resist	Special1	Special2	Special_Ammount	Death_Res	Description	Price(even)
Broad Sword	Weapon	Dart	Sword				2																 <END>	20
Bastard Sword	Weapon	Dart	Sword				7																 <END>	60
Heat Blade	Weapon	Dart	Sword	Fire			18																Fire-based attack.<END>	150
Falchion	Weapon	Dart	Sword				26																 <END>	250
Mind Crush	Weapon	Dart	Sword		Confusion	20	34																Confuses Enemy <LINE>with given<LINE>probability.<END>	350
Fairy Sword	Weapon	Dart	Sword				39												sp_multi		50		Gives 50% more SP.<END>	400
Claymore	Weapon	Dart	Sword				44																 <END>	500
Soul Eater	Weapon	Dart	Sword				75													hp_regen	-10		Powerful but<LINE>HP decays  <LINE>each turn.<END>	450
Axe	Weapon	Kongol	Axe				45																 <END>	200
Tomahawk	Weapon	Kongol	Axe				59																 <END>	300
Battle Axe	Weapon	Kongol	Axe				67																 <END>	350
Great Axe	Weapon	Kongol	Axe		Stun	20	79																Stuns enemy, with<LINE>a given <LINE>probability.<END>	400
Indora's Axe	Weapon	Kongol	Axe		Death	10	88															death_chance	Instantly kills <LINE>enemy with given<LINE>probability.<END>	500
Rapier	Weapon	Rose	Sword				13																 <END>	60
Shadow Cutter	Weapon	Rose	Sword	Dark			24																Darkness-based <LINE>attack.<END>	200
Dancing Dagger	Weapon	Rose	Sword				30																 <END>	300
Flamberge	Weapon	Rose	Sword		Stun	10	35																Stuns enemy, with a<LINE>given probability.<END>	350
Gladius	Weapon	Rose	Sword		Death	10	40															death_chance	Instantly kills <LINE>enemy with given<LINE>probability.<END>	400
Dragon Buster	Weapon	Rose	Sword				100															dragon_buster	 <END>	500
Demon Stilleto	Weapon	Rose	Sword		Fear	20	18																Frightens enemy <LINE>with a given<LINE>probability.<END>	160
Spear	Weapon	Lavitz	Spear				4																 <END>	20
Lance	Weapon	Lavitz	Spear				19																 <END>	100
Glaive	Weapon	Lavitz	Spear				28																 <END>	250
Spear of Terror	Weapon	Lavitz	Spear		Fear	20	37																Frightens enemy<LINE>with a given <LINE>probability.<END>	300
Partisan	Weapon	Lavitz	Spear				56																 <END>	400
Halberd	Weapon	Lavitz	Spear				65																 <END>	500
Twister Glaive	Weapon	Lavitz	Spear	Wind			28																Wind-based attack.<END>	140
Short Bow	Weapon	Shana	Bow				3					20											 <END>	20
Sparkle Arrow	Weapon	Shana	Bow	Light			9					20											Light-based attack.<END>	50
Long Bow	Weapon	Shana	Bow				18					30											 <END>	150
Bemusing Arrow	Weapon	Shana	Bow		Confusion	20	24					20											Confuses enemy <LINE>with a given <LINE>probability.<END>	250
Virulent Arrow	Weapon	Shana	Bow		Poison	20	30					20											Poisons enemy<LINE>with a given <LINE>probability.<END>	350
Detonate Arrow	Weapon	Shana	Bow				50					20										attack_all	Can attack all.<END>	400
Arrow of Force	Weapon	Shana	Bow				40					20							sp_multi		50		Gives 50% more SP.<END>	500
Mace	Weapon	Meru	Mace				15																 <END>	200
Morning Star	Weapon	Meru	Hammer				20																 <END>	250
War Hammer	Weapon	Meru	Hammer				25																 <END>	300
Heavy Mace	Weapon	Meru	Hammer		Stun	20	30																Stuns enemy, with <LINE>a given <LINE>probability.<END>	400
Basher	Weapon	Meru	Hammer				40																 <END>	500
Pretty Hammer	Weapon	Meru	Hammer				15												sp_multi		100		Gives twice as <LINE>much SP but not <LINE>powerful.<END>	400
Iron Knuckle	Weapon	Haschel	Knuckle				20																 <END>	100
Beast Fang	Weapon	Haschel	Knuckle		Stun	20	31																Stuns enemy, with<LINE>a given <LINE>probability.<END>	250
Diamond Claw	Weapon	Haschel	Knuckle				37																 <END>	300
Thunder Fist	Weapon	Haschel	Knuckle	Thunder			49																Thunder-based <LINE>attack.<END>	450
Destroyer Mace	Weapon	Haschel	Knuckle				55																Becomes powerful <LINE>inversely to HP.<END>	500
Brass Knuckle	Weapon	Haschel	Knuckle		Death	10	43															death_chance	Instantly kills <LINE>enemy with given<LINE>probability.<END>	350
Leather Armor	Armor	Dart, Lavitz	Clothes						2	2													 <END>	20
Scale Armor	Armor	Dart, Lavitz	Armor						8	8													 <END>	50
Chain Mail	Armor	Dart, Lavitz	Armor						20	24													 <END>	150
Plate Mail	Armor	Dart, Lavitz	Armor						27	20													 <END>	200
Saint Armor	Armor	Dart, Lavitz	Armor						34	34									sp_p_hit		20		When physically <LINE>attacked SP is <LINE>accumulated.<END>	300
Red DG Armor	Armor	Dart	Armor						41	40							Fire						Nullifies damage<LINE>due to fire-based<LINE>attacks.<END>	800
Jade DG Armor	Armor	Lavitz	Armor						54	27							Wind						Nullifies damage<LINE>due to wind-based<LINE>attacks.<END>	800
Lion Fur	Armor	Kongol	Loincloth						46	20													 <END>	150
Breast Plate	Armor	Kongol	Breastplate						59	14													 <END>	250
Giganto Armor	Armor	Kongol	Armor						75	26									sp_p_hit		20		When physically <LINE>attacked SP is <LINE>accumulated.<END>	400
Gold DG Armor	Armor	Kongol	Armor						88	23							Earth						Nullifies damage<LINE>due to earth-<LINE>based attacks.<END>	800
Disciple Vest	Armor	Haschel	Warrior Dress						13	8				10									 <END>	60
Warrior Dress	Armor	Haschel	Warrior Dress						25	23				20									 <END>	150
Master's Vest	Armor	Haschel	Warrior Dress						30	29				10					sp_p_hit		20		When physically <LINE>attacked SP is <LINE>accumulated.<END>	250
