ID	11											
Level	11											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	20	40	60	75							
SP Increase	0	0	0	0	0							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	30	5	17	11	3	0	2	5	7	16	32	0
Hit 2	30	5	29	14	3	0	0	29	6	15	32	0
Hit 3	30	5	22	15	3	0	4	11	23	9	32	0
Hit 4	30	5	10	5	2	0	4	1	1	18	32	0
Hit 5	30	5	22	16	3	0	11	5	3	22	32	0
Hit 6	30	5	13	7	3	65532	3	4	7	18	32	0
Hit 7	20	5	40	19	2	65528	0	40	6	24	32	0
