M-ID	M-name	Element	HP	AT	MAT	DF	MDF	Speed	A-AV	M-AV	P-Immune	M-Immune	P-Half	M-Half	E-Immune	E-Half	Status-Resist	Death-Resist	EXP	Gold	Drop	Drop-Chance	M-extra-name
0	Mantis	Earth	50	10	8	170	95	50	0	0	0	0	0	0	None	None	99	0	12	6	Pellet	8	Mantis
1	Scissorhands	Earth	240	48	41	240	90	60	0	0	0	0	0	0	None	None	99	0	40	18	Meteor Fall	8	Scissorhands
2	Spinninghead	Non-Elemental	1421	65	82	120	200	60	0	0	0	0	0	0	None	None	255	128	99	30	Mind Purifier	8	Spinninghead
3	Sandworm	Earth	5760	115	98	120	120	50	0	0	0	0	0	0	None	None	99	16	168	51	Spirit Potion	8	Sandworm
4	Sea Dragon	Fire	82	12	15	100	140	70	20	0	0	0	0	0	None	None	99	0	14	9	Burn Out	10	Sea Dragon
5	Land Skater	Water	1154	79	84	140	160	60	10	0	0	0	0	0	None	None	99	0	88	33	Spear Frost	8	Land Skater
6	Beastie Dragon	Wind	1243	91	67	170	130	50	0	0	0	0	0	0	None	None	99	16	110	33	Total Vanishing	8	Beastie Dragon
7	Manticore	Dark	4800	130	141	210	220	50	0	0	0	0	0	0	None	None	99	16	216	60	Depetrifier	8	Manticore
8	Goblin	Fire	10	4	3	140	140	40	0	0	0	0	0	0	None	None	99	0	4	6	Detonate Rock	10	Goblin
9	Minotaur	Earth	3840	135	110	200	140	50	0	0	0	0	0	0	None	None	107	16	180	48	Heavy Mace	2	Minotaur
10	Hyper Skeleton	Dark	4800	143	120	220	120	60	0	0	0	0	0	0	None	None	255	144	204	54	Spear of Terror	2	Hyper Skeleton
11	Basilisk	Earth	3280	131	131	160	160	50	0	0	0	0	0	0	None	None	99	144	150	51	Depetrifier	8	Basilisk
12	Flabby Troll	Earth	1680	74	55	100	100	50	0	0	0	0	0	0	None	None	99	16	84	30	Knight Shield	2	Flabby Troll
13	Evil Spider	Earth	75	11	9	100	80	60	0	0	0	0	0	0	None	None	99	0	12	12	Angel's Prayer	8	Evil Spider
14	Spider Urchin	Thunder	300	48	45	220	140	60	0	0	0	0	0	0	None	None	99	0	40	18	Poison Needle	8	Spider Urchin
15	Strong Man	Earth	200	23	18	140	100	60	0	0	0	0	0	0	None	None	99	0	18	9	Fake Power Wrist	2	Strong Man
16	Dragonfly	Thunder	888	50	49	160	190	80	0	0	0	0	0	0	None	None	99	0	48	21	Angel's Prayer	8	Dragonfly
17	Hell Hound	Fire	375	23	34	100	180	60	5	0	0	0	0	0	None	None	99	0	20	9	Burn Out	8	Hell Hound
18	Death	Dark	600	72	57	160	100	50	0	0	0	0	0	0	None	None	127	144	66	30	Total Vanishing	8	Death
19	Lizard Man	Earth	100	19	17	180	60	50	0	0	0	0	0	0	None	None	99	0	18	15	Beast Fang	2	Lizard Man
20	White Ape	Earth	2000	113	90	160	120	50	0	0	0	0	0	0	None	None	99	0	144	51	Healing Potion	8	White Ape
21	Assassin Cock	Wind	8	4	4	120	140	45	0	0	0	0	0	0	None	None	99	0	5	6	Healing Potion	10	Assassin Cock
22	Merman	Water	112	13	15	120	100	60	0	0	0	0	0	0	None	None	107	0	15	12	Spear	20	Merman
23	Glare	Water	960	55	69	120	160	70	10	0	0	0	0	0	None	None	99	0	70	18	Mind Purifier	8	Glare
24	Berserk Mouse	Dark	5	3	3	100	140	45	0	0	0	0	0	0	None	None	107	0	3	3	Healing Potion	10	Berserk Mouse
25	Dragon Soldier	Earth	2440	167	131	220	160	50	0	0	0	0	0	0	None	None	99	0	180	60	Knight Shield	2	Dragon Soldier
26	Earth Shaker	Earth	600	51	45	180	100	50	0	0	0	0	0	0	None	None	99	16	48	15	Stunning Hammer	8	Earth Shaker
27	Vampire Kiwi	Dark	32	7	9	100	140	70	0	0	0	0	0	0	None	None	99	0	8	9	Healing Potion	8	Vampire Kiwi
28	Myconido	Earth	75	10	17	100	200	80	20	0	0	0	0	0	None	None	227	0	11	8	Body Purifier	10	Myconido
