Item Name	Target	Element	Damage	Specail 1	Special 2	UU1	Special Ammount	Icon	Status	Percentage	UU2	Base Switch	Description	Price(even)	Battle Description
	76	None						Magic						4	
Detonate Rock	78	None	100					Magic					Detonates and<LINE>attacks all.	10	Detonates & attacks all.
Spark Net	76	Thunder	150					Magic					Thunder-based,<LINE>single-target<LINE>(multi).	10	S attack(thunder, multi).
Burn Out	76	Fire	150					Magic					Fire-based,<LINE>single-target<LINE>(multi).	10	S attack(fire, multi).
		None											 	2	
Pellet	76	Earth	150					Magic					Earth-based,<LINE>single-target<LINE>(multi).	10	S attack(earth, multi).
Spear Frost	76	Water	150					Magic					Water-based,<LINE>single-target<LINE>(multi).	10	S attack(water, multi).
Spinning Gale	76	Wind	150					Magic					Wind-based,<LINE>single-target<LINE>(multi).	10	S attack(wind, multi).
Attack Ball	76	None						Sack					Generates a random<LINE>attack item.	100	Generates 1 attack item.
Trans Light	76	Light	150					Magic					Light-based,<LINE>single-target<LINE>(multi).	10	S attack(light, multi).
Dark Mist	76	Dark	150					Magic					Dark-based,<LINE>single-target<LINE>(multi).	10	S attack(dark, multi).
Healing Potion	88	None						Blue Potion		50		HP	Recovers half of<LINE>maximum HP.	10	Recovers 1/2 of max HP.
Depetrifier	72	None						Green Potion	PE			Status_Cure	Dissolves<LINE>petrification.	30	Dissolves petrification.
Mind Purifier	88	None						Green Potion	BE,CN,FE,DS			Status_Cure	Dispels confusion,<LINE>bewitchment, fear,<LINE>and dispiriting.	20	Dissolves B, C, F, D.
Body Purifier	88	None						Green Potion	ST,AB,PO			Status_Cure	Nullifies poison,<LINE>stunning, and<LINE>arm blocking.	10	Dissolves P, S, A-Block.
Thunderbolt	78	Thunder	100					Magic					Thunder-based,<LINE>targets all<LINE>(multi).	20	A attack(thndr, multi).
Meteor Fall	78	Earth	100					Magic					Earth-based,<LINE>targets all<LINE>(multi).	20	A attack(earth, multi).
Gushing Magma	78	Fire	100					Magic					Fire-based,<LINE>targets all<LINE>(multi).	20	A attack(flame, multi).
Dancing Ray	78	Light	100					Magic					Light-based,<LINE>targets all<LINE>(multi).	20	A attack(light, multi).
Spirit Potion	72	None						Red Potion		100		SP	Recovers 100 pts.<LINE>of SP.	20	Recovers 100SP in combat.
Panic Bell	76	None						Skull	CN			Status_Cause	Confuses minor<LINE>enemies.	20	Confuses minor enemy.
	90	None								50		HP	 	2	
Fatal Blizzard	78	Water	100					Magic					Water-based,<LINE>targets all<LINE>(multi).	20	A attack(water, multi).
